label,title,text
1,"""Spraying chlorine or alcohol on the skin kills viruses in the body""",
1,"""Only older adults and young people are at risk""",
1,"""Children cannot get COVID-19""",
1,"""COVID-19 is just like the flu""",
1,"""Everyone with COVID-19 dies""",
1,"""Cats and dogs spread coronavirus""",
1,"""Face masks always protect against coronavirus""",
1,"""Hand dryers kill coronavirus""",
1,"""SARS-CoV-2 is just a mutated form of the common cold""",
1,"""You have to be with someone for 10 minutes to catch the virus""",
1,"""Rinsing the nose with saline protects against coronavirus""",
1,"""You can protect yourself by gargling bleach""",
1,"""Antibiotics kill coronavirus""",
1,"""Thermal scanners can diagnose coronavirus""",
1,"""Garlic protects against coronaviruses""",
1,"""Parcels from China can spread coronavirus""",
1,"""Home remedies can cure and protect against COVID-19""",
1,"""You can catch coronavirus from eating Chinese food in the US""",
1,"""You can catch coronavirus from urine and feces""",
1,"""The virus will die off when temperatures rise in the spring""",
1,"""Coronavirus is the deadliest virus known to humans""",
1,"""Flu and pneumonia vaccines can protect against COVID-19""",
1,"""The virus originated in a laboratory in China""",
1,"""The outbreak began because people ate bat soup""",
1,"""5G helps SARS-CoV-2 spread""",
1,"""Drinking alcohol reduces the risk of infection""",
1,"""Injecting or consuming bleach or disinfectant kills the virus""",
1,You can catch coronavirus in swimming pools,
1,The U.S. CDC quietly updated their numbers in August to show that only 6% of all coronavirus deaths were completely due to the coronavirus alone,
1,"Social media posts shared thousands of times and retweeted by President Donald Trump claim the U.S Centers for Disease Control and Prevention cut the national COVID-19 death toll by 94%, citing a CDC comorbidity chart.",
1,"The CDC updated the COVID-19 number to admit that only 6% of all the 153,504 deaths recorded actually died from COVID-19.",
1,"Either masks work or they don’t; if masks work, then physical distancing and lockdowns are unnecessary.",
1,"The RT-PCR test for the virus that causes COVID-19 detects human DNA on chromosome 8, therefore all tests will give a positive result",
1,The Governor of Maine has ordered restaurant staff to wear dog cone-style face visors as a precautionary measure against COVID-19.,
1,The greatest trick the U.S. CDC ever pulled was convincing the world you can be sick without having symptoms.,
1,"The survival rate of COVID-19 is close to 100% without a vaccine, so what exactly will the purpose of the new vaccine be?",
